,phrase,sig_label
588,"Later, Marilyn buys crayons at the",0
589,Bobby has peanuts. Jean has,1
590,peanuts. Jean has peanuts. If Jean,1
591,Frank collects bottle caps. Frank's,1
592,father gives Frank more. Lisa has,1
593,more. Lisa has oranges. How many,0
594,There are tickets in a,1
595,a package of tickets are added,0
596,There are peanuts in a,1
597,a package of peanuts are added,0
598,Benjamin has tickets. He finds,1
599,"tickets. He finds Later, Benjamin buys",1
600,"Later, Benjamin buys erasers at thestore.",0
601,Russell has pencils. Elizabeth has,0
602,Elizabeth has with pencils. Elizabeth finds,1
603,Elizabeth finds another How many pencils,1
604,Carl has candies. Marie has,1
605,candies. Marie has candies. If Marie,1
606,There are Skittles in a,1
607,in a package 79 Skittles are,0
608,a package of12. Skittles are added,1
609,Lillian has candies. James has,0
610,James has with candies. James finds,1
611,James finds another How manycandies does,1
612,Frank weighs pounds. Michelle weighs,1
613,pounds. Michelle weighs Brian weighs 3,1
614,72pounds. Brian weighs pounds. How much,0
615,Louis starts with crayons and 9,1
616,57 crayons and oranges. 30 are,0
617,and 9 oranges. are eaten by,1
618,Edward starts with eggs and 17,1
619,93 eggs and stickers. He loses,0
620,stickers. He loses How many eggs,1
621,There are erasers in a,1
622,box. Craig has erasers in a,0
623,bag. Thomas takes erasers out of,1
624,Irene removes bananas from a,1
625,There were originally bananas and 7,1
626,59 bananas and oranges in the,0
627,Paula starts with peanuts and 7p,1
628,Paula starts with peanuts and 7p,0
629,encils. She loses How many peanuts,1
630,Jessica has eggs. Betty has,1
631,eggs. Betty has eggs. Rose takes,0
632,eggs. Rose takes away. How many,1
633,Theresa removes marbles from a,1
634,jar.There were originally marbles and 11,1
635,67 marbles and bananas in the,0
636,Philip removes Skittles from a,1
637,There were originally Skittles and 16,1
638,57 Skittles and tickets in the,0
639,Kathryn removes tickets from a,1
640,There were originally tickets and 10,1
641,87 tickets and peanuts in the,0
642,Cheryl weighs pounds. Brandon weighs,1
643,pounds. Brandon weighs Diana weighs 9,1
644,12pounds. Diana weighs pounds. How much,0
645,There are peanuts in a,1
646,box. Justin has peanuts in a,0
647,bag. Jerry takes peanuts out of,1
648,Helen weighs pounds. Ronald weighs,1
649,pounds. Ronald weighs pounds. Earl weighs,1
650,pounds. Ronald weighs pounds. Earl weighs,1
651,Diane starts with blocks and 12,1
652,24 blocks and bottle caps. She,0
653,Diane starts with blocks and 12,1
654,There are apples in a,1
655,box. Brandon has apples in a,0
656,bag. Jason takes apples out of,1
657,Juan removes bottle caps from,1
658,jar.There were originally bottle caps and,1
659,bottle caps and eggs in the,0
660,Anthony weighs pounds. Russell weighs,1
661,Anthony weighs pounds. Russell weighs,1
662,pounds. Denise weighs pounds. How much,0
663,Bridget removes tickets from a,1
664,jar.There were originally tickets and 5,1
665,56 tickets and Skittles in the,0
666,Andrew removes crayons from a,1
667,There were originally crayons and 12,1
668,69 crayons and bananas in the,0
669,Jane removes eggs from a,1
670,There were originally eggs and 14,1
671,58 eggs and stickers inthe jar.,0
672,There are tickets in a,1
673,box. William has tickets in a,0
674,bag. Angela takes tickets out of,1
675,Marilyn has marbles. Susan has,1
676,marbles. Susan has marbles. She shares,1
677,marbles. Susan has marbles. She shares,1
678,Frank has apples. Kathleen has,1
679,apples. Kathleen has apples. He gives,0
680,apples. He gives to Terry. How,1
681,There are stickers in a,1
682,box. Jerry has stickers in a,0
683,bag. William takes stickers out of,1
684,Margaret has Skittles. Anne has,1
685,Skittles. Anne has Skittles. She gives,1
686,Skittles. Anne has Skittles. She gives,1
687,Denise has marbles. Lois has,1
688,marbles. Lois has marbles. Harold takes,0
689,marbles. Harold takes away. How many,1
690,Phyllis has bananas. Elizabeth has,1
691,bananas. Elizabeth has bananas. Aaron takes,0
692,bananas. Aaron takes away. How many,1
693,Steven weighs pounds. Joseph weighs,1
694,4pounds. Phyllis weighs pounds. How much,1
695,4pounds. Phyllis weighs pounds. How much,1
696,Jeffrey removes Skittles from a,1
697,jar.There were originally Skittles and 3,1
698,Jeffrey removes Skittles from a,1
699,Scott starts with cards and 17,1
700,54 cards and bananas. He shares,0
701,bananas. He shares with Christine. How,1
702,Carol has marbles. Shawn has,1
703,marbles. Shawn has marbles. Heather takes,0
704,marbles. Heather takes away. How many,1
705,Doris removes marbles from a,1
706,There were originally marbles and 18,1
707,38 marbles and peanuts in the,0
708,Craig weighs pounds. Judith weighs,1
709,pounds. Judith weighs Diane weighs 11,1
710,4pounds. Diane weighs pounds. How much,0
711,There are Skittles in a,1
712,There are Skittles in a,0
713,bag. Carl takes Skittlesout of the,1
714,Roger starts with peanuts and 13,1
715,5 peanuts and candies. He gives,0
716,candies. He gives to Dennis. How,1
717,Margaret starts with cards and 12,1
718,98 cards and oranges. She shares,0
719,oranges. She shares with Jesse. How,1
720,Diana removes tickets from a,1
721,There were originally tickets and 17,1
722,62 tickets and oranges in the,0
723,Amy removes crayons from a,1
724,There were originally crayons and 19,1
725,69 crayons and bottle caps in,0
726,Sean removes pencils from a,1
727,There were originally pencils and 16,1
728,89 pencils and bananas in the,0
729,Brenda weighs pounds. Alan weighs,1
730,pounds. Alan weighs pounds. Victor weighs,1
731,pounds. Victor weighs pounds. How much,0
732,Marvin starts with eggs and 6,1
733,39 eggs and tickets. 8 are,0
734,and 6 tickets. are eaten by,1
735,Bobby removes pencils from a,1
736,There were originally pencils and 10,1
737,82 pencils and cards in the,0
738,Mildred removes blocks from a,1
739,There were originally blocks and 9,1
740,61 blocks and pencils in the,0
741,Marie removes bottle caps from,1
742,There were originally bottle caps and,1
743,bottle caps and tickets in the,0
744,Marilyn weighs pounds. Amanda weighs,1
745,pounds. Amanda weighs Evelyn weighs 14,1
746,9pounds. Evelyn weighs pounds. How much,0
747,Larry removes blocks from a,1
748,There were originally blocks and 4,1
749,37 blocks and oranges inthe jar.,0
750,Joshua starts with crayons and 10,1
751,94 crayons and pencils. 48 are,0
752,and 10 pencils. are eaten by,1
753,Jennifer starts with tickets and 13,1
754,89 tickets and pencils. 27 are,0
755,and 13 pencils. are eaten by,1
756,There are oranges in a,1
757,box. Jessica has oranges in a,0
758,bag. Billy takes oranges out of,1
759,Julie weighs pounds. Nathan weighs,1
760,pounds. Nathan weighs pounds. Kenneth weighs,1
761,pounds. Kenneth weighs pounds. How much,0
762,Justin removes tickets from a,1
763,There were originally tickets and 7,1
764,54 tickets and Skittles in the,0
765,Paul has pencils. Scott has,1
766,pencils. Scott has pencils. He gives,0
767,pencils. He gives to David. How,1
768,There are oranges in a,1
769,box. Margaret has oranges in a,0
770,bag. Harry takes oranges out of,1
771,Matthew weighs pounds. Bruce weighs,1
772,pounds. Bruce weighs pounds. William weighs,1
773,pounds. William weighs pounds. How much,0
774,Roger starts with marbles and 3,1
775,66 marbles and pencils. Joan takes,0
776,pencils. Joan takes away. How many,1
777,Steven has crayons. Sean has,1
778,crayons. Sean has crayons. Diane takes,0
779,crayons. Diane takes away. How many,1
780,There are tickets in a,1
781,box. Sharon has tickets in a,0
782,bag. Andrea takes tickets out of,1
783,There are cards in a,1
784,box. Walter has in a bag.,0
785,bag. Alan takes cards out ofthe,1
786,Janet has bottle caps. Betty,1
787,caps. Betty has bottle caps. She,0
788,caps. She gives to Marvin. How,1
789,Deborah starts with cards and 11,1
790,65 cards and blocks. 3 are,0
791,and 11 blocks. are eaten by,1
792,There are bananas in a,1
793,box. Stephen has bananas in a,1
794,bag. Denise takes bananas out of,1
795,Todd has blocks. Jeremy has,1
796,blocks. Jeremy has blocks. He shares,0
797,blocks. He shares with Albert. How,1
798,Russell weighs pounds. Wayne weighs,1
799,pounds. Wayne weighs pounds. Lisa weighs,1
800,pounds. Lisa weighs pounds. How much,0
801,Betty removes candies from a,1
802,There were originally candies and 6,1
803,27 candies and bottle caps in,0
804,Earl starts with oranges and 4,1
805,77 oranges and stickers. He shares,0
806,stickers. He shares with Theresa. How,1
807,Charles starts with tickets and 14,1
808,79 tickets and eggs. He loses,0
809,eggs. He loses How many tickets,1
810,Wayne starts with cards and 18,1
811,86 cards and tickets. He shares,0
812,tickets. He shares with Nicole. How,1
813,Maria removes Skittles from a,1
814,There were originally Skittles and 5,1
815,87 Skittles and tickets in the,0
816,Peter has oranges. Denise has,1
817,oranges. Denise has oranges. He loses,0
818,oranges. He loses How many oranges,1
819,Philip weighs pounds. Carlos weighs,1
820,pounds. Carlos weighs pounds. Anne weighs,1
821,pounds. Anne weighs pounds. How much,0
822,There are blocks in a,1
823,box. Stephen has blocks in a,0
824,bag. Kenneth takes blocks out of,1
825,Jeremy starts with bottle caps and,1
826,bottle caps and crayons. 3 are,0
827,and 10 crayons. are eaten by,1
828,Anna removes pencils from a,1
829,There were originally pencils and 5,1
830,13 pencils and oranges in the,0
831,Ryan weighs pounds. Edward weighs,1
832,pounds. Edward weighs pounds. Brenda weighs,1
833,pounds. Brenda weighs pounds. How much,0
834,Ashley weighs pounds. Gregory weighs,1
835,pounds. Gregory weighs Larry weighs 16,1
836,15pounds. Larry weighs pounds. How much,0
837,Nathan starts with apples and 17,1
838,76 apples and pencils. He gives,0
839,pencils. He gives to Steven. How,1
840,Christine weighs pounds. Philip weighs,1
841,pounds. Philip weighs pounds. Shirley weighs,1
842,pounds. Shirley weighs pounds. How much,0
843,Randy removes bananas from a,1
844,There were originally bananas and 10,1
845,99 bananas and blocksin the jar.,0
846,Harold has pencils. Samuel has,1
847,pencils. Samuel has pencils. Randy takes,0
848,pencils. Randy takes away. How many,1
849,Annie has apples. Kelly has,1
850,apples. Kelly has apples. She loses,0
851,apples. She loses How many apples,1
852,Stephen removes tickets from a,1
853,There were originally tickets and 3,1
854,54 tickets and stickers in the,0
855,Kathy weighs pounds. Antonio weighs,1
856,Kathy weighs pounds. Antonio weighs,1
857,3pounds. Ruby weighs pounds. How much,0
858,Christine removes apples from a,1
859,There were originally apples and 3,1
860,66 apples and bananas in the,0
861,Rose removes candies from a,1
862,There were originally candies and 3,1
863,24 candies and Skittlesin the jar.,0
864,Mildred weighs pounds. Carlos weighs,1
865,pounds. Carlos weighs Bobby weighs 3,1
866,56pounds. Bobby weighs pounds. How much,0
867,Kathleen weighs pounds. John weighs,1
868,pounds. John weighs pounds. Bonnie weighs,1
869,pounds. Bonnie weighs pounds. How much,0
870,There are oranges in a,1
871,box. Ralph has oranges in a,0
872,bag. Irene takes oranges out of,1
873,There are eggs in a,1
874,package of 6. eggsare added to,1
875,package of 6. eggsare added to,1
876,Melissa weighs pounds. Anthony weighs,1
877,pounds. Anthony weighs pounds. Harold weighs,1
878,pounds. Harold weighs pounds. How much,0
879,Katherine has erasers. She gets,1
880,erasers. She gets more from Randy.,1
881,"Later, Katherine buys bottle caps at",0
882,Stephen starts with erasers and 13,1
883,39 erasers and cards. He shares,0
884,cards. He shares with Edward. How,1
885,There are pencils in a,1
886,box. Helen has pencils in a,0
887,bag. Mary takes pencils out of,1
888,There are stickers in a,1
889,There are stickers in a,1
890,bag. Kelly takes stickersout of the,1
891,Steve has peanuts. Lisa has,0
892,Lisa has with peanuts. Lisa finds,1
893,Steve has peanuts. Lisa has,1
894,There are bottle caps in,1
895,a package of 29 bottle caps,0
896,package of 13. bottle caps are,1
897,Larry has peanuts. Jason has,1
898,peanuts. Jason has peanuts. If Jason,1
899,Earl starts with crayons and 15,1
900,59 crayons and blocks. He shares,0
901,blocks. He shares with Jonathan. How,1
902,There are bottle caps in,1
903,a box. Susanhas bottle caps in,0
904,bag. Diane takes bottle caps out,1
905,Jesse collects tickets. Jesse's father,1
906,father gives Jesse more. Joan has,1
907,more. Joan has peanuts. How many,0
908,Helen removes bananas from a,1
909,There were originally bananas and 13,1
910,67 bananas and tickets in the,0
911,Carolyn has apples. Lori has,0
912,Lori has with apples. Lori finds,1
913,Lori finds another How many apples,1
914,Wanda has candies. Lillian has,1
915,candies. Lillian has candies. If Lillian,1
916,Barbara starts with peanuts and 5,1
917,95 peanuts and apples. 13 are,0
918,and 5 apples. are eaten by,1
919,Victor has bottle caps. Ryan,0
920,Ryan has with bottle caps. Ryan,1
921,Ryan finds another How many bottle,1
922,Chris has erasers. Craig has,0
923,Craig has with erasers. Craig finds,1
924,Craig finds another How many erasers,1
925,There are stickers in a,1
926,a package of 6 stickers are,0
927,package of 9. stickers are added,1
928,Jason starts with candies and 5,1
929,51 candies and oranges. He loses,0
930,oranges. He loses How many candies,1
931,Each child has stickers and 9,1
932,34 stickers and bottlecaps. If there,1
933,34 stickers and bottlecaps. If there,1
934,into groups of Clarence has 2714,1
935,46. Clarence has peanuts and 13,1
936,2714 peanuts and marbles. How many,0
937,Paul has boxes of peanuts.,1
938,Each box holds peanuts and there,1
939,and there are boxes in acase.,0
940,Henry has tickets that must,1
941,help and brings cookies to share,0
942,"If there are boxes, how many",1
943,Nathan is inviting friends to a,1
944,party. He has cookies and 17,1
945,952 cookies and peices of candy.,0
946,Amy has erasers and 10,1
947,720 erasers and marbles. If she,0
948,"the erasers among friends, how many",1
949,bottle caps costs There are 33,0
950,$16.00. There are bottle caps in,1
951,caps are in packages?,1
952,Henry is inviting friends to a,1
953,party. He has cookies and 17,1
954,1568 cookies and peices of candy.,0
955,There are students and 1368,1
956,24 students and erasers. Each student,1
957,Each student has Skittles. If the,0
958,Earl is inviting friends to a,1
959,party. He has cookies and 16,1
960,826 cookies and peices of candy.,0
961,of eggs costs There are 6,0
962,$12.00. There are eggs in each,1
963,eggs are in packages?,1
964,of oranges costs There are 2,0
965,$5.00. There are oranges in each,1
966,oranges are in packages?,1
967,Dennis has boxes of Skittles.,1
968,Each box holds Skittles and there,1
969,and there are boxes in a,0
970,of bananas contains bananas. One banana,0
971,One banana costs How muchdo 98,1
972,$5.00. How muchdo bananas cost?,1
973,of bananas costs There are 8,0
974,$18.00. There are bananas in each,1
975,bananas are in packages?,1
976,Nicole has boxes of eggs.,1
977,Each box holds eggs and there,1
978,and there are boxes in a,0
979,of bananas costs There are 9,0
980,$13.00. There are bananas in each,1
981,bananas are in packages?,1
982,to the store times last month.,1
983,month. He buys bottle caps and,1
984,bottle caps and crayons each time,0
985,to the store times last month.,1
986,month. He buys eggs and 5,1
987,3 eggs and bananas each time,0
988,Each child has blocks and 3,1
989,Each child has blocks and 3,1
990,"If there are children, how many",1
991,The school has classrooms. There are,0
992,classrooms. There are students in the,1
993,the school and seats on each,1
994,Lois has cards and 12,1
995,836 cards and tickets. If she,0
996,"the cards among friends, how many",1
997,of erasers costs There are 2,0
998,$8.00. There are erasers in each,1
999,erasers are in packages?,1
1000,There are tickets in Denise's,1
1001,Denise also has Skittles. If the,0
1002,"are organized into groups, how big",1
1003,Tina is inviting friends to a,1
1004,party. She has cookies and 12,1
1005,80 cookies and peices of candy.,0
1006,of blocks costs There are 4,0
1007,$18.00. There are blocks in each,1
1008,blocks are in packages?,1
1009,There are students and 48,1
1010,12 students and cards. Each student,1
1011,Each student has Skittles. If the,0
1012,of crayons costs There are 4,0
1013,$12.00. There are crayons in each,1
1014,crayons are in packages?,1
1015,of candies contains candies. One candy,0
1016,One candy costs How much do,1
1017,How much do candies cost?,1
1018,into groups of Sarah has 900,1
1019,90. Sarah has candies and 15,1
1020,900 candies and apples. How many,0
1021,to the store times last month.,1
1022,month. She buys tickets and 16,1
1023,43 tickets and candies each time,0
1024,to the store times last month.,1
1025,month. She buys bananas and 6,1
1026,5 bananas and bottle caps each,0
1027,Rachel has boxes of peanuts.,1
1028,Each box holds peanuts and there,1
1029,and there are boxes ina case.,0
1030,Each child has bottle caps and,1
1031,bottle caps and cards. If there,0
1032,"If there are children, how many",1
1033,of marbles contains marbles. One marble,0
1034,One marble costs How much do,1
1035,How much do marbles cost?,1
1036,Each child has bottle caps and,1
1037,bottle caps and stickers. If there,0
1038,"If there are children, how many",1
1039,The school has classrooms. There are,0
1040,classrooms. There are students in the,1
1041,the school and seats oneach school,1
1042,of oranges contains oranges. One orange,0
1043,One orange costs How much do,1
1044,How much do oranges cost?,1
1045,Raymond has apples and 6,1
1046,405 apples and crayons. If he,0
1047,"the apples among friends, how many",1
1048,Alice has crayons that must,1
1049,help and brings cookies to share,0
1050,"If there are boxes, how many",1
1051,There are eggs in a,1
1052,box. Janet has eggs in a,0
1053,bag. Ashley takes eggs out of,1
1054,Deborah has pencils. Jonathan has,1
1055,pencils. Jonathan has pencils. If Jonathan,1
1056,Carolyn has peanuts. Thomas has,1
1057,Thomas has with peanuts. Thomas finds,1
1058,Carolyn has peanuts. Thomas has,1
1059,of bananas contains bananas. One banana,0
1060,One banana costs How much do,1
1061,How much do bananas cost?,1
1062,Timothy has oranges. Beverly has,1
1063,oranges. Beverly has oranges. If Beverly,1
1064,into groups of Randy has 2030,1
1065,29. Randy has candies and 16,1
1066,2030 candies and pencils. How many,0
1067,Donna has stickers. Barbara has,1
1068,stickers. Barbara has stickers. If Barbara,1
1069,Dorothy removes peanuts from a,1
1070,There were originally peanuts and 4,1
1071,70 peanuts and cards in the,0
1072,to the store times last month.,1
1073,month. He buys tickets and 16,1
1074,20 tickets and marbles each time,0
1075,There are bottle caps in,1
1076,package of 3. bottle caps are,1
1077,package of 3. bottle caps are,1
1078,Elizabeth is inviting friends to a,1
1079,party. She has cookies and 7,1
1080,4465 cookies and peices of candy.,0
1081,Dorothy has stickers. Janet has,1
1082,stickers. Janet has stickers. If Janet,1
1083,of peanuts contains peanuts. One peanut,0
1084,One peanut costs How much do,1
1085,How much do peanuts cost?,1
1086,Billy weighs pounds. Carolyn weighs,1
1087,pounds. Carolyn weighs pounds. Julia weighs,1
1088,pounds. Julia weighs pounds. How much,0
1089,to the store times last month.,1
1090,month. She buys peanuts and 17,1
1091,34 peanuts and bananas each time,0
1092,Sean has erasers. Michael has,0
1093,Michael has with erasers. Michael finds,1
1094,Michael finds another How many erasers,1
1095,of blocks costs There are 3,0
1096,$14.00. There are blocks in each,1
1097,blocks are in packages?,1
1098,Each child has apples and 15,1
1099,93 apples and Skittles. If there,0
1100,"If there are children, how many",1
1101,Russell starts with pencils and 7,1
1102,87 pencils and eggs. 40 are,0
1103,and 7 eggs. are eaten by,1
1104,into groups of Maria has 3864,1
1105,56. Maria has cards and 15,1
1106,3864 cards and bananas. How many,0
1107,Janice has candies. Nathan has,1
1108,candies. Nathan has candies. If Nathan,1
1109,Christina collects erasers. Christina's father,1
1110,father gives Christina more. Bridget has,1
1111,more. Bridget has apples. How many,0
1112,There are bananas in a,1
1113,box. Jeffrey has bananas in a,0
1114,bag. Jennifer takes bananas out of,1
1115,There are crayons in a,1
1116,a package of crayons are added,0
1117,The school has classrooms. There are,0
1118,classrooms. There are students in the,1
1119,the school and seats oneach school,1
1120,of eggs costs There are 3,0
1121,$12.00. There are eggs in each,1
1122,eggs are in packages?,1
1123,Irene removes pencils from a,1
1124,There were originally pencils and 16,1
1125,35 pencils and cards inthe jar.,0
1126,There are tickets in a,1
1127,box. Patrick has tickets in a,0
1128,bag. Kathleen takes tickets out of,1
1129,of candies contains candies. One candy,0
1130,One candy costs How much do,1
1131,How much do candies cost?,1
1132,into groups of Mark has 3003,1
1133,77. Mark has eggs and 13,1
1134,3003 eggs and blocks. How many,0
1135,Samuel has bottle caps. Harry,1
1136,caps. Harry has bottle caps. He,0
1137,caps. He loses How many bottle,1
1138,Stephanie weighs pounds. Phillip weighs,1
1139,pounds. Phillip weighs pounds. Maria weighs,1
1140,pounds. Maria weighs pounds. How much,0
1141,Douglas collects peanuts. Douglas's father,1
1142,father gives Douglas more. Louis has,1
1143,more. Louis has cards. How many,0
1144,There are bottle caps in,1
1145,a package of 13 bottle caps,0
1146,package of 4. bottle caps are,1
1147,to the store times last month.He,1
1148,last month.He buys bottle caps and,1
1149,bottle caps and erasers each time,0
1150,Nicole has erasers. Susan gives,1
1151,"Susan gives Nicole more. Later, Nicole",1
1152,"Later, Nicole buys oranges at the",0
1153,of tickets costs There are 52,0
1154,$14.00. There are tickets in each,1
1155,tickets are in packages?,1
1156,of eggs contains eggs. One egg,0
1157,One egg costs How much do,1
1158,How much do eggs cost?,1
1159,There are students and 1221,1
1160,33 students and crayons. Each student,1
1161,Each student has eggs. If the,0
1162,Denise has bananas. Joshua has,1
1163,bananas. Joshua has bananas. If Joshua,1
1164,Keith went to football games this,1
1165,"year, but missed He went to",0
1166,He went to games last year.,1
1167,Tom had dimes in his,1
1168,dad gave him dimes and 5,1
1169,2 dimes and quarters. How many,0
1170,Sally has books and she,1
1171,she has read books since yesterday.,0
1172,she has read books since yesterday.,0
1173,Sally picked apples and 8,1
1174,6 apples and pears from the,0
1175,orchard. She gave apples to Melanie.,1
1176,There are erasers and 8,1
1177,9 erasers and pencils in the,0
1178,drawer. Sandy took erasers from the,1
1179,"Sara had Pokemon cards, and",1
1180,"Pokemon cards, and baseball cards. Melanie",0
1181,cards. Melanie bought of Sara's Pokemon,1
1182,Keith bought crayons that came,1
1183,in packs of There were 2,1
1184,15. There were colors of crayons.,0
